id,movie_id,keyword_id
685,155,7002
686,155,9537
687,155,9715
688,155,9717
689,155,10044
690,155,10291
691,155,18023
692,155,33518
693,155,156395
694,155,163074
695,155,163455
696,155,230775
697,14160,965
698,14160,1291
699,14160,9903
700,14160,10336
701,14160,175715
702,14160,179431
703,14160,221536
704,15512,9951
705,15512,10891
706,15512,179431
707,1726,539
708,1726,6163
709,1726,8613
710,1726,8828
711,1726,9715
712,1726,9717
713,1726,12555
714,1726,173776
715,1726,179430
716,1726,180547
717,1726,208630
718,1726,209756
719,44826,295
720,44826,1507
721,44826,2793
722,44826,2849
723,44826,4290
724,44826,5202
725,44826,9673
726,44826,13014
727,44826,14544
728,44826,14545
729,44826,18028
730,44826,33490
731,44826,41372
732,44826,156149
733,44826,209714
734,8487,10028
735,8487,10988
736,8487,163671
737,8487,171636
738,297761,849
739,297761,1296
740,297761,2095
741,297761,3269
742,297761,3289
743,297761,9715
744,297761,194404
745,297761,229266
746,2698,494
747,2698,1850
748,2698,2587
749,2698,3848
750,2698,5905
751,2698,6038
752,2698,6150
753,2698,6603
754,2698,10084
755,2698,18165
756,2698,18330
757,2698,179431
758,2698,210450
759,137113,563
760,137113,1521
761,137113,2062
762,137113,4565
763,137113,6091
764,137113,9951
765,137113,11109
766,137113,13065
767,137113,14909
768,137113,204318
769,9804,270
770,9804,331
771,9804,1852
772,9804,4237
773,9804,4565
774,9804,34161
775,14869,949
776,14869,1328
777,14869,1562
778,14869,1576
779,14869,3467
780,14869,6086
781,14869,8570
782,14869,9748
783,14869,9826
784,14869,10563
785,14869,14601
786,14869,14760
787,14869,155551
788,14869,156075
789,14869,191574
790,150540,1566
791,150540,6513
792,150540,7942
793,150540,10336
794,150540,18035
