id,from_movie_id,to_movie_id,sim_cos
338,10758,2898,0.12119513
339,10758,1957,0.115925305
340,10758,10564,0.105942346
341,10758,9100,0.10544473
342,10758,64639,0.10341745
343,10758,316002,0.102886446
344,10776,764,0.21195407
345,10776,11152,0.14498094
346,10776,4953,0.119646065
347,10776,25763,0.11702722
348,10776,1779,0.11269617
349,10776,1571,0.10798482
350,10776,14405,0.1072039
351,10776,2637,0.10548383
352,10782,881,0.23732972
353,10782,9944,0.22764158
354,10782,9950,0.16082337
355,10782,819,0.15379974
356,10782,4421,0.14748414
357,10782,6973,0.12659208
358,10782,563,0.11861744
359,10782,40688,0.11366713
360,107985,747,0.12660916
361,107985,84178,0.1191329
362,107985,100042,0.11135614
363,107985,10070,0.11027283
364,107985,1961,0.08936651
365,107985,38365,0.08706298
366,107985,2428,0.08629742
367,107985,64720,0.08424808
368,10802,266102,0.16658483
369,10802,535,0.13924572
370,10802,137093,0.12906599
371,10802,1788,0.11902122
372,10802,44214,0.11894569
373,10802,1950,0.10007695
374,10802,10560,0.097435966
375,10802,10029,0.09352642
376,10803,12088,0.16173364
377,10803,8452,0.13563028
378,10803,2048,0.13065246
379,10803,1649,0.11799239
380,10803,198663,0.1151181
381,10803,11561,0.11007625
382,10803,39254,0.10650752
383,10803,103731,0.104953595
384,10808,281957,0.19187972
385,10808,7484,0.1674844
386,10808,72105,0.16611442
387,10808,394047,0.15714641
388,10808,244316,0.14468445
389,10808,18357,0.14006093
390,10808,75174,0.13986282
391,10808,7518,0.13919537
392,10861,9655,0.14872895
393,10861,8374,0.13051046
394,10861,4824,0.101015136
395,10861,2001,0.09823475
396,10861,2088,0.09063347
397,10861,3132,0.08983831
